script_name,model_type,download_method,civitai_model_id,civitai_version_id,huggingface_model_id,direct_url,output_directory,helper_library,filename,param1,param2,param3,tags
Stable-diffusion/NoobE/LibrasIllustriousXL_v50.sh,Stable-diffusion,civitai_download,827460,1573516,,,Stable-diffusion/NoobE,civitai_download.sh,LibrasIllustriousXL_v50.safetensors,827460,1573516,,standard
Stable-diffusion/NoobE/LuminarQMixE_v71.sh,Stable-diffusion,civitai_download,1616309,1888068,,,Stable-diffusion/NoobE,civitai_download.sh,LuminarQMixE_v71.safetensors,1616309,1888068,,standard
Stable-diffusion/NoobE/NonameMixL_v11.sh,Stable-diffusion,huggingface_download,,,Emanon14/NONAMEmix_v1,,Stable-diffusion/NoobE,huggingface_download.sh,NonameMixL_v11.safetensors,Emanon14/NONAMEmix_v1,NONAMEmix_v11_L.safetensors,,standard
Stable-diffusion/NoobE/NonameMix_v11.sh,Stable-diffusion,huggingface_download,,,Emanon14/NONAMEmix_v1,,Stable-diffusion/NoobE,huggingface_download.sh,NonameMix_v11.safetensors,Emanon14/NONAMEmix_v1,NONAMEmix_v11.safetensors,,standard
Stable-diffusion/NoobE/NovaAnime_v60.sh,Stable-diffusion,civitai_download,376130,1610231,,,Stable-diffusion/NoobE,civitai_download.sh,NovaAnime_v60.safetensors,376130,1610231,,standard
Stable-diffusion/NoobE/NtrMix_vXIII.sh,Stable-diffusion,civitai_download,926443,1166878,,,Stable-diffusion/NoobE,civitai_download.sh,NtrMix_vXIII.safetensors,926443,1166878,,standard
Stable-diffusion/NoobE/Obsession_v31.sh,Stable-diffusion,civitai_download,820208,1136462,,,Stable-diffusion/NoobE,civitai_download.sh,Obsession_v31.safetensors,820208,1136462,,standard
Stable-diffusion/NoobE/PersonalMerge_v30.sh,Stable-diffusion,civitai_download,835655,1023901,,,Stable-diffusion/NoobE,civitai_download.sh,PersonalMerge_v30.safetensors,835655,1023901,,standard
Stable-diffusion/NoobE/SmoothMixNoob_v30.sh,Stable-diffusion,civitai_download,1695247,1918596,,,Stable-diffusion/NoobE,civitai_download.sh,SmoothMixNoob_v30.safetensors,1695247,1918596,,standard
Stable-diffusion/NoobE/TanemoMix_v20.sh,Stable-diffusion,civitai_download,1297977,1535992,,,Stable-diffusion/NoobE,civitai_download.sh,TanemoMix_v20_LCM_DDIM.safetensors,1297977,1535992,,standard
